Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,30696958,31731688,32758020,33736494,34656032
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,669.009050888028,631.744970641527,612.069651391198,584.025902055779,561.778746269502
Afghanistan,AFG,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,85.9099804305284,78.6364080993837,85.3235490326885,..,..
Albania,ALB,"Population, total",SP.POP.TOTL,2900401,2895092,2889104,2880703,2876101
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4247.61430826246,4414.72313957332,4575.76378666221,3954.02278326009,4146.89625046198
Albania,ALB,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,100,100,100,..,..
Algeria,DZA,"Population, total",SP.POP.TOTL,37565847,38338562,39113313,39871528,40606052
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,5564.82565958068,5471.86676584854,5470.85100707097,4132.76029208861,3843.75232202304
Algeria,DZA,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1.08368033172465,0.55101018533979,0.395379969490365,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,55230,55307,55437,55537,55599
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,11660.329531052,11553.6912144936,11508.5592654725,11541.8549795632,..
American Samoa,ASM,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0.70242656449553,0.703140481075933,0.700882474752302,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,82431,80788,79223,78014,77281
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,38167.0957462493,40215.4353174077,..,..,..
Andorra,AND,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,86.6894197952219,88.7532693984307,89.4321766561514,..,..
Angola,AGO,"Population, total",SP.POP.TOTL,25096150,25998340,26920466,27859305,28813463
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,4598.24998765441,4804.61688354724,4709.31202367384,3695.79374814656,3110.80818263013
Angola,AGO,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,60.7994842037395,58.0209347614411,53.1751054852321,..,..
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,96777,97824,98875,99923,100963
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,12565.4419725532,12224.8641551267,12888.2966708807,13566.9054060515,14353.3788138742
Antigua and Barbuda,ATG,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0,0,0,..,..
Arab World,ARB,"Population, total",SP.POP.TOTL,373306993,381702086,390043028,398304960,406452690
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,7341.23989200003,7435.88912093028,7446.36966072444,6430.07195736751,6153.06954728785
Arab World,ARB,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,3.59163850508694,3.72032235311628,3.36583671450004,..,..
Argentina,ARG,"Population, total",SP.POP.TOTL,42096739,42539925,42981515,43417765,43847430
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,12969.7071238969,12976.6364245411,12245.2564487696,13467.1023570022,12449.2168521177
Argentina,ARG,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,29.2611353196635,31.539616730497,31.5361744301288,..,..
Armenia,ARM,"Population, total",SP.POP.TOTL,2881922,2893509,2906220,2916950,2924816
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,3684.80481032649,3843.5912130934,3994.71235479566,3609.65477582664,3606.15205715147
Armenia,ARM,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,28.9447486311598,28.2360570687419,25.7548387096774,..,..
Aruba,ABW,"Population, total",SP.POP.TOTL,102577,103187,103795,104341,104822
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..
Aruba,ABW,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,14.9152542372881,14.9121861868333,15.0992799476326,..,..
Australia,AUS,"Population, total",SP.POP.TOTL,22728254,23117353,23460694,23789338,24127159
